# Rounds: 1000, repetitions: 100000
# Good arm ~ N(5.0,2.0), 1 bad arm(s) ~ N(4.0,4.0)
# Estimate ~ N(10.0,0.5)
# Observation noise range from 0.4 to 0.6 with step size 0.01

# Observation noise | mean | standard deviation

1 0.4 4.520449390536615
1 0.41000000000000003 4.506225026333043
1 0.42000000000000004 4.494682106996288
1 0.43000000000000005 4.493437865634356
1 0.44000000000000006 4.499687877757215
1 0.45000000000000007 4.506758541826663
1 0.4600000000000001 4.5025363549849
1 0.4700000000000001 4.489422831893986
1 0.4800000000000001 4.504074707980294
1 0.4900000000000001 4.513460670588866
1 0.5000000000000001 4.499223271731059
1 0.5100000000000001 4.4796608437932415
1 0.5200000000000001 4.494471976778392
1 0.5300000000000001 4.500733460753567
1 0.5400000000000001 4.5072833025600785
1 0.5500000000000002 4.512156635563763
1 0.5600000000000002 4.495963470341221
1 0.5700000000000002 4.489486902233356
1 0.5800000000000002 4.5039655611713965
1 0.5900000000000002 4.495171605362437
1 0.6000000000000002 4.499087440743692

2 0.4 8.997695770224418
2 0.41000000000000003 8.992549143248235
2 0.42000000000000004 8.964641606668517
2 0.43000000000000005 8.955284839464198
2 0.44000000000000006 8.953107651546558
2 0.45000000000000007 9.00446847543134
2 0.4600000000000001 8.9337152021655
2 0.4700000000000001 8.96735639705005
2 0.4800000000000001 8.97972176234964
2 0.4900000000000001 9.005671410003611
2 0.5000000000000001 8.960691889515864
2 0.5100000000000001 8.954244519730363
2 0.5200000000000001 8.97434884694461
2 0.5300000000000001 8.981625771139546
2 0.5400000000000001 8.974540521436348
2 0.5500000000000002 8.969909028772381
2 0.5600000000000002 8.9626109825781
2 0.5700000000000002 8.968850594094436
2 0.5800000000000002 8.982063557955136
2 0.5900000000000002 8.94976204219998
2 0.6000000000000002 8.949562835122187

3 0.4 13.604861663184996
3 0.41000000000000003 13.592097486844049
3 0.42000000000000004 13.585997975355378
3 0.43000000000000005 13.569161949551344
3 0.44000000000000006 13.556991120115839
3 0.45000000000000007 13.600071787248556
3 0.4600000000000001 13.546048499523275
3 0.4700000000000001 13.59207670727453
3 0.4800000000000001 13.597481123773742
3 0.4900000000000001 13.61566133239384
3 0.5000000000000001 13.569136377470567
3 0.5100000000000001 13.572299674814383
3 0.5200000000000001 13.573790161833312
3 0.5300000000000001 13.58438968308094
3 0.5400000000000001 13.596675721112998
3 0.5500000000000002 13.600110427664731
3 0.5600000000000002 13.55661262582391
3 0.5700000000000002 13.563444262188156
3 0.5800000000000002 13.593582240743238
3 0.5900000000000002 13.558303332436209
3 0.6000000000000002 13.55772533817352

4 0.4 18.248749750424587
4 0.41000000000000003 18.24197733740344
4 0.42000000000000004 18.242348661140564
4 0.43000000000000005 18.228769180101082
4 0.44000000000000006 18.192377717732
4 0.45000000000000007 18.24312011002314
4 0.4600000000000001 18.180393051188855
4 0.4700000000000001 18.23118558227834
4 0.4800000000000001 18.232205145229287
4 0.4900000000000001 18.24181029895577
4 0.5000000000000001 18.170014629972986
4 0.5100000000000001 18.206752877554585
4 0.5200000000000001 18.194521770273347
4 0.5300000000000001 18.196012062726815
4 0.5400000000000001 18.21354548465011
4 0.5500000000000002 18.24444478499846
4 0.5600000000000002 18.17507693910215
4 0.5700000000000002 18.191570371255047
4 0.5800000000000002 18.22335296048438
4 0.5900000000000002 18.179708505153403
4 0.6000000000000002 18.14777798165225

5 0.4 22.932910016244044
5 0.41000000000000003 22.902045907594474
5 0.42000000000000004 22.949810803171435
5 0.43000000000000005 22.89461597720344
5 0.44000000000000006 22.87430064058057
5 0.45000000000000007 22.913940784459207
5 0.4600000000000001 22.842823487199055
5 0.4700000000000001 22.86776119484654
5 0.4800000000000001 22.889436650606825
5 0.4900000000000001 22.898814841589207
5 0.5000000000000001 22.83726684483089
5 0.5100000000000001 22.859139182909885
5 0.5200000000000001 22.834157226238148
5 0.5300000000000001 22.846635071788548
5 0.5400000000000001 22.862846316652004
5 0.5500000000000002 22.89511412795961
5 0.5600000000000002 22.836822685981947
5 0.5700000000000002 22.822341667148947
5 0.5800000000000002 22.851287806328056
5 0.5900000000000002 22.80698984200591
5 0.6000000000000002 22.774003269149674

6 0.4 27.62479332272992
6 0.41000000000000003 27.589771194153702
6 0.42000000000000004 27.626433228509306
6 0.43000000000000005 27.59150224378773
6 0.44000000000000006 27.564448160371953
6 0.45000000000000007 27.610690040880673
6 0.4600000000000001 27.5285700909983
6 0.4700000000000001 27.546781815467085
6 0.4800000000000001 27.58264152543318
6 0.4900000000000001 27.561856306232734
6 0.5000000000000001 27.511681809418924
6 0.5100000000000001 27.520286377369477
6 0.5200000000000001 27.50076615448071
6 0.5300000000000001 27.516199082529884
6 0.5400000000000001 27.520273353365358
6 0.5500000000000002 27.544573245099212
6 0.5600000000000002 27.503136721626372
6 0.5700000000000002 27.493247147483697
6 0.5800000000000002 27.516414576691762
6 0.5900000000000002 27.442742271688456
6 0.6000000000000002 27.429801125055068

7 0.4 32.32786875239484
7 0.41000000000000003 32.29830949311105
7 0.42000000000000004 32.34984798855196
7 0.43000000000000005 32.297876252413026
7 0.44000000000000006 32.27069344449912
7 0.45000000000000007 32.30906080360739
7 0.4600000000000001 32.24108229795268
7 0.4700000000000001 32.26208433396538
7 0.4800000000000001 32.27918256786908
7 0.4900000000000001 32.25670089030048
7 0.5000000000000001 32.222605270119764
7 0.5100000000000001 32.208074982161094
7 0.5200000000000001 32.174081099704324
7 0.5300000000000001 32.19059990579169
7 0.5400000000000001 32.1900568158631
7 0.5500000000000002 32.2350627910897
