# Rounds: 100, repetitions: 1000000
# Good arm ~ N(5.0,2.0), 1 bad arm(s) ~ N(4.0,4.0)
# Estimate ~ N(10.0,0.5)
# Observation noise range from 0.3 to 0.5 with step size 0.01

# Observation noise | mean | standard deviation

1 0.3 4.499251053986316
1 0.31 4.5031406125276305
1 0.32 4.499148350128814
1 0.33 4.5007889376526045
1 0.34 4.5025949370142335
1 0.35000000000000003 4.504443564695506
1 0.36000000000000004 4.503263140299887
1 0.37000000000000005 4.497240326825977
1 0.38000000000000006 4.498185699847824
1 0.39000000000000007 4.501603902533254
1 0.4000000000000001 4.495172676254642
1 0.4100000000000001 4.492898526286943
1 0.4200000000000001 4.494946090346166
1 0.4300000000000001 4.499574032635958
1 0.4400000000000001 4.497528271563266
1 0.4500000000000001 4.500030908297859
1 0.46000000000000013 4.495927911850113
1 0.47000000000000014 4.503662669536159
1 0.48000000000000015 4.5033763573793815
1 0.49000000000000016 4.499137242991434
1 0.5000000000000002 4.496990265723907

2 0.3 8.969347722509998
2 0.31 8.972538279683548
2 0.32 8.970495864220746
2 0.33 8.96990791583417
2 0.34 8.97511766034104
2 0.35000000000000003 8.973270170823854
2 0.36000000000000004 8.980864667190756
2 0.37000000000000005 8.970534826041778
2 0.38000000000000006 8.970437751707358
2 0.39000000000000007 8.97042445721715
2 0.4000000000000001 8.96275793589136
2 0.4100000000000001 8.960738183044134
2 0.4200000000000001 8.966582022579486
2 0.4300000000000001 8.972421688949085
2 0.4400000000000001 8.968541162134288
2 0.4500000000000001 8.971438020247959
2 0.46000000000000013 8.966817212245957
2 0.47000000000000014 8.96983548476222
2 0.48000000000000015 8.982059172379067
2 0.49000000000000016 8.968711010026304
2 0.5000000000000002 8.968705822771904

3 0.3 13.579685466157853
3 0.31 13.58763189899197
3 0.32 13.587165976038108
3 0.33 13.580580878801618
3 0.34 13.583090221555741
3 0.35000000000000003 13.588158998462431
3 0.36000000000000004 13.595654866515554
3 0.37000000000000005 13.576368234448683
3 0.38000000000000006 13.5855558671841
3 0.39000000000000007 13.585984223741617
3 0.4000000000000001 13.580611739931431
3 0.4100000000000001 13.571078083660291
3 0.4200000000000001 13.57815779690776
3 0.4300000000000001 13.586634894621797
3 0.4400000000000001 13.580391806021252
3 0.4500000000000001 13.579939375086596
3 0.46000000000000013 13.581184334070315
3 0.47000000000000014 13.584444805865079
3 0.48000000000000015 13.588521453865251
3 0.49000000000000016 13.580617542591066
3 0.5000000000000002 13.577249664403643

4 0.3 18.239929441023584
4 0.31 18.249597240301288
4 0.32 18.244893877906325
4 0.33 18.242733068034298
4 0.34 18.239345955663406
4 0.35000000000000003 18.24024698017491
4 0.36000000000000004 18.249950936900568
4 0.37000000000000005 18.21873848604053
4 0.38000000000000006 18.238157545942016
4 0.39000000000000007 18.24311756600649
4 0.4000000000000001 18.234139666393187
4 0.4100000000000001 18.22067693073986
4 0.4200000000000001 18.227495740260665
4 0.4300000000000001 18.233164160389954
4 0.4400000000000001 18.22523371560001
4 0.4500000000000001 18.22789918191681
4 0.46000000000000013 18.22961435841479
4 0.47000000000000014 18.223066895952986
4 0.48000000000000015 18.230052825796484
4 0.49000000000000016 18.21667185389043
4 0.5000000000000002 18.211921919842737

5 0.3 22.932901117141288
5 0.31 22.941834584265465
5 0.32 22.935777507557965
5 0.33 22.92980064579316
5 0.34 22.928940733560072
5 0.35000000000000003 22.926650461771086
5 0.36000000000000004 22.93287066371638
5 0.37000000000000005 22.892539839564314
5 0.38000000000000006 22.921610550996164
5 0.39000000000000007 22.9186410390616
5 0.4000000000000001 22.91638718573176
5 0.4100000000000001 22.893303101580138
5 0.4200000000000001 22.90250146439737
5 0.4300000000000001 22.90405161706525
5 0.4400000000000001 22.900052606046412
5 0.4500000000000001 22.89337891431525
5 0.46000000000000013 22.886219787339297
5 0.47000000000000014 22.881939869128523
5 0.48000000000000015 22.89015780425576
5 0.49000000000000016 22.87458384512676
5 0.5000000000000002 22.864713030522957

6 0.3 27.65102864617955
6 0.31 27.6577490675433
6 0.32 27.653152313824485
6 0.33 27.638796997345402
6 0.34 27.639227725098536
6 0.35000000000000003 27.64259353167509
6 0.36000000000000004 27.640872372792693
6 0.37000000000000005 27.59689308249119
6 0.38000000000000006 27.628433053201647
6 0.39000000000000007 27.624444158824225
6 0.4000000000000001 27.617825161145678
6 0.4100000000000001 27.589983443712995
6 0.4200000000000001 27.595153693615547
6 0.4300000000000001 27.595926865314173
6 0.4400000000000001 27.592344127586284
