# Rounds: 100000, repetitions: 1000
# Good arm ~ N(5.0,2.0), 1 bad arm(s) ~ N(4.0,4.0)
# Estimate ~ N(10.0,0.5)
# Observation noise range from 0.5 to 0.7 with step size 0.01

# Observation noise | mean | standard deviation

1 0.5 4.595565697072802
1 0.51 4.449371992812172
1 0.52 4.449860600215558
1 0.53 4.515335148948665
1 0.54 4.539879984411993
1 0.55 4.3401398239852735
1 0.56 4.65854760434591
1 0.5700000000000001 4.556962235174624
1 0.5800000000000001 4.417506361966221
1 0.5900000000000001 4.632301390623936
1 0.6000000000000001 4.6310238106894355
1 0.6100000000000001 4.357500911409791
1 0.6200000000000001 4.499613468226106
1 0.6300000000000001 4.484925276960544
1 0.6400000000000001 4.536016247583244
1 0.6500000000000001 4.543269181100504
1 0.6600000000000001 4.550391679920173
1 0.6700000000000002 4.402505672752223
1 0.6800000000000002 4.400296002177005
1 0.6900000000000002 4.492323754345367
1 0.7000000000000002 4.497692613332554

2 0.5 9.062587201416026
2 0.51 8.849717408364237
2 0.52 8.868853674167397
2 0.53 9.088747224152
2 0.54 8.997832850416987
2 0.55 8.701227964253933
2 0.56 9.154074480695645
2 0.5700000000000001 9.044035980444706
2 0.5800000000000001 9.040068990664233
2 0.5900000000000001 9.00581575103495
2 0.6000000000000001 9.031684464901513
2 0.6100000000000001 8.824040440593
2 0.6200000000000001 8.975587216535827
2 0.6300000000000001 9.009700137050853
2 0.6400000000000001 9.041539945477897
2 0.6500000000000001 8.887106173517811
2 0.6600000000000001 8.945360534296565
2 0.6700000000000002 8.941487367886117
2 0.6800000000000002 8.962776575350379
2 0.6900000000000002 9.136991108499453
2 0.7000000000000002 8.894366685271759

3 0.5 13.570779654888023
3 0.51 13.422793267329975
3 0.52 13.31132867322271
3 0.53 13.693880653992462
3 0.54 13.643434351740465
3 0.55 13.275771040173463
3 0.56 13.752141977903017
3 0.5700000000000001 13.60455594577646
3 0.5800000000000001 13.738039496494341
3 0.5900000000000001 13.696162639493698
3 0.6000000000000001 13.587382798777428
3 0.6100000000000001 13.357118648759855
3 0.6200000000000001 13.268764954757911
3 0.6300000000000001 13.600996371207595
3 0.6400000000000001 13.777949898550132
